y,lag1,lag2,lag3,lag4,lag5,volprev,date
0,0.01,-0.061,-0.0499,0.0113,0.0783,56517.1947424979,2018-01-02 00:00:00
0,-0.0731,0.01,-0.061,-0.0499,0.0113,127897.803221683,2018-01-01 00:00:00
0,-0.0295,-0.0731,0.01,-0.061,-0.0499,70157.8621856558,2017-12-31 00:00:00
0,-0.0098,-0.0295,-0.0731,0.01,-0.061,104083.901230361,2017-12-30 00:00:00
1,-0.0027,-0.0098,-0.0295,-0.0731,0.01,169479.430815642,2017-12-29 00:00:00
0,0.0939,-0.0027,-0.0098,-0.0295,-0.0731,111219.207059612,2017-12-28 00:00:00
1,-0.0185,0.0939,-0.0027,-0.0098,-0.0295,165916.331797377,2017-12-27 00:00:00
0,0.0929,-0.0185,0.0939,-0.0027,-0.0098,79159.1352678651,2017-12-26 00:00:00
0,-0.0286,0.0929,-0.0185,0.0939,-0.0027,135821.402809648,2017-12-25 00:00:00
0,-0.0828,-0.0286,0.0929,-0.0185,0.0939,96994.7735586332,2017-12-24 00:00:00
1,-0.0215,-0.0828,-0.0286,0.0929,-0.0185,87112.3742598641,2017-12-23 00:00:00
0,0.0827,-0.0215,-0.0828,-0.0286,0.0929,153401.748400831,2017-12-22 00:00:00
1,-0.0746,0.0827,-0.0215,-0.0828,-0.0286,298566.528484445,2017-12-21 00:00:00
1,0.185,-0.0746,0.0827,-0.0215,-0.0828,164880.103274056,2017-12-20 00:00:00
1,0.0347,0.185,-0.0746,0.0827,-0.0215,229858.163304791,2017-12-19 00:00:00
1,0.087,0.0347,0.185,-0.0746,0.0827,168380.284999019,2017-12-18 00:00:00
1,0.0248,0.087,0.0347,0.185,-0.0746,138543.056335094,2017-12-17 00:00:00
0,0.032,0.0248,0.087,0.0347,0.185,119990.599504945,2017-12-16 00:00:00
0,-0.0537,0.032,0.0248,0.087,0.0347,119589.984800878,2017-12-15 00:00:00
0,-0.0436,-0.0537,0.032,0.0248,0.087,159005.950159948,2017-12-14 00:00:00
1,-0.0579,-0.0436,-0.0537,0.032,0.0248,109075.542080027,2017-12-13 00:00:00
1,0.0165,-0.0579,-0.0436,-0.0537,0.032,164127.373430838,2017-12-12 00:00:00
0,0.0096,0.0165,-0.0579,-0.0436,-0.0537,145753.499830426,2017-12-11 00:00:00
0,-0.0263,0.0096,0.0165,-0.0579,-0.0436,194953.129438195,2017-12-10 00:00:00
1,-0.1252,-0.0263,0.0096,0.0165,-0.0579,249654.888532804,2017-12-09 00:00:00
1,0.0475,-0.1252,-0.0263,0.0096,0.0165,185713.953167026,2017-12-08 00:00:00
0,0.041,0.0475,-0.1252,-0.0263,0.0096,314611.933261557,2017-12-07 00:00:00
0,-0.0433,0.041,0.0475,-0.1252,-0.0263,363469.024852723,2017-12-06 00:00:00
0,-0.1553,-0.0433,0.041,0.0475,-0.1252,235324.240475355,2017-12-05 00:00:00
0,-0.0768,-0.1553,-0.0433,0.041,0.0475,120759.318626707,2017-12-04 00:00:00
0,-0.0283,-0.0768,-0.1553,-0.0433,0.041,142927.384096964,2017-12-03 00:00:00
0,-0.0068,-0.0283,-0.0768,-0.1553,-0.0433,196642.433185319,2017-12-02 00:00:00
0,-0.0294,-0.0068,-0.0283,-0.0768,-0.1553,116815.955021259,2017-12-01 00:00:00
0,-0.0677,-0.0294,-0.0068,-0.0283,-0.0768,200809.712785594,2017-11-30 00:00:00
1,-0.028,-0.0677,-0.0294,-0.0068,-0.0283,298602.699300566,2017-11-29 00:00:00
0,0.0512,-0.028,-0.0677,-0.0294,-0.0068,423519.723756954,2017-11-28 00:00:00
0,-0.0559,0.0512,-0.028,-0.0677,-0.0294,123611.732501518,2017-11-27 00:00:00
